time_step,bus_voltages,bus_angles,load_p,load_q,gen_p,gen_q
418,"[1.06, 1.0450000000000004, 1.0099999999999998, 1.0400812141267892, 1.0391500195190273, 1.0700000000000003, 1.0861003185988536, 1.09, 1.0955673564485304, 1.0910658953508159, 1.0807546697534018, 1.071894493266709, 1.0736609025097463, 1.086007919646589]","[0.0, 1.3698792036532326, 1.7988354380084193, 1.1264188265937645, 1.1047570975331207, 1.2992279394680946, 1.0147016555394515, 1.0147016555394515, 0.9576529709564989, 1.0032394226781571, 1.134146590212265, 1.2890361306581606, 1.2390699442650834, 1.0738663770537313]","[0.000227339705500505, 0.0009868848045229272, 0.0005007759411485768, 7.96212793457988e-05, 0.00011733662219380864, 0.0003090562816711931, 9.42883571200249e-05, 3.666769443556524e-05, 6.390655315912794e-05, 0.00014143253568003745, 0.00015609961345426342]","[0.0001330513483804796, 0.00019905319836449655, -4.085828808534413e-05, 1.6762374599115524e-05, 7.857363093335414e-05, 0.00017390963646582373, 6.0763607921793865e-05, 1.8857671424004925e-05, 1.6762374599115524e-05, 6.0763607921793865e-05, 5.238242062223599e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.11700683641973, -38.48503685333756, -27.888726903341702, 2.413086986800838]"
419,"[1.06, 1.045, 1.0099999999999998, 1.040081196069058, 1.0391500053812557, 1.0699999999999998, 1.086100296605746, 1.0899999999999999, 1.0955673189523734, 1.09106585665305, 1.0807546464087978, 1.0718944759306315, 1.0736608786482946, 1.0860078695679938]","[0.0, 1.3698726258811598, 1.7988202123029098, 1.1264068176216613, 1.1047467225077938, 1.2992116846927073, 1.0146865603261253, 1.014686560326125, 0.9576362987849063, 1.0032225430692205, 1.1341298947079586, 1.2890189767540692, 1.2390527557251318, 1.0738484773996173]","[0.00025102694855511743, 0.0010897114540964058, 0.000552953370549981, 8.791727230501788e-05, 0.00012956229602844728, 0.00034125783328921457, 0.00010411255930857383, 4.0488217508889815e-05, 7.05651790869222e-05, 0.00015616883896286084, 0.00017236412596641662]","[0.00014691438924654306, 0.0002197931807625442, -4.511544236704866e-05, 1.850889943263533e-05, 8.676046609047824e-05, 0.00019202983161359174, 6.709476044330317e-05, 2.0822511861714704e-05, 1.850889943263533e-05, 6.709476044330317e-05, 5.784031072698538e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.116964574157347, -38.48497795527943, -27.88869098304566, 2.4131005959333844]"
420,"[1.06, 1.045, 1.0099999999999998, 1.0400811788027287, 1.0391499918630844, 1.0699999999999996, 1.08610027557652, 1.0900000000000003, 1.0955672830995455, 1.0910658196512777, 1.0807546240873098, 1.0718944593543391, 1.0736608558326135, 1.0860078216841784]","[0.0, 1.3698663363917314, 1.798805653891616, 1.1263953349646505, 1.1047368021868662, 1.2991961423124307, 1.0146721266880594, 1.0146721266880594, 0.9576203573016069, 1.0032064032398775, 1.1341139309145234, 1.2890025746510436, 1.2390363205042387, 1.0738313622303681]","[0.0002736760534903831, 0.0011880315317416602, 0.0006028440256608426, 9.584967772013394e-05, 0.00014125215664019725, 0.0003720480911505204, 0.00011350619730015865, 4.414129895006169e-05, 7.693197817010745e-05, 0.00017025929595023808, 0.0001879158155302626]","[0.00016016985619022385, 0.00023962419430033433, -4.918601883006875e-05, 2.0178879520028187e-05, 9.458849775013226e-05, 0.00020935587502029262, 7.314843826010228e-05, 2.2701239460031663e-05, 2.0178879520028187e-05, 7.314843826010228e-05, 6.305899850008805e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.116924164060194, -38.48492163851998, -27.888656637007777, 2.4131136086255154]"
421,"[1.06, 1.0450000000000002, 1.01, 1.040081247115537, 1.03915004534659, 1.0700000000000003, 1.086100358776955, 1.09, 1.0955674249483882, 1.0910659660458375, 1.0807547124004975, 1.0718945249371312, 1.0736609461010516, 1.0860080111326873]","[0.0, 1.3698912202599582, 1.7988632530984148, 1.126440765192424, 1.104776051155059, 1.2992576345151792, 1.014729232240002, 1.0147292322400019, 0.9576834285242006, 1.0032702592028728, 1.134177090405344, 1.2890674682791659, 1.239101345160625, 1.0738990770484491]","[0.0001840666456895638, 0.0007990358536385655, 0.00040545556055120424, 6.44657376608609e-05, 9.500213971074229e-05, 0.00025022885013097356, 7.634100512470373e-05, 2.9688168659606996e-05, 5.174223680674358e-05, 0.00011451150768705566, 0.00012638677515089836]","[0.00010772564056485969, 0.0001611643441521519, -3.308110222070495e-05, 1.357173424439176e-05, 6.361750427058647e-05, 0.00014080674278556466, 4.91975366359202e-05, 1.52682010249407e-05, 1.357173424439176e-05, 4.91975366359202e-05, 4.241166951372423e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.117084043112193, -38.48514445124762, -27.888792524322476, 2.413062124961133]"
422,"[1.06, 1.0450000000000002, 1.01, 1.0400812531863923, 1.0391500500995845, 1.0699999999999998, 1.0861003661708546, 1.0899999999999999, 1.0955674375542876, 1.0910659790557096, 1.080754720248762, 1.0718945307653807, 1.0736609541230788, 1.0860080279687039]","[0.0, 1.3698934316541365, 1.7988683718587577, 1.1264448025127942, 1.1047795391555963, 1.2992630992405805, 1.0147343071300075, 1.014734307130008, 0.9576890335749279, 1.0032759339923722, 1.1341827033003373, 1.2890732352844492, 1.2391071238102245, 1.073905094768897]","[0.00017610318268867147, 0.0007644663506577333, 0.0003879139231575336, 6.167669071123962e-05, 9.089196525866885e-05, 0.00023940294420810149, 7.303818636857327e-05, 2.840373914333404e-05, 4.950365964981072e-05, 0.00010955727955285997, 0.00012091877521019349]","[0.00010306499632009782, 0.00015419172677809872, -3.164988075971508e-05, 1.2984566465524124e-05, 6.086515530714442e-05, 0.00013471487707981294, 4.7069053437525014e-05, 1.460763727371461e-05, 1.2984566465524124e-05, 4.7069053437525014e-05, 4.057677020476287e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.117098251297957, -38.48516425228897, -27.888804600426212, 2.413057549683982]"
423,"[1.06, 1.045, 1.0099999999999996, 1.0400812989738204, 1.0391500859474643, 1.0700000000000003, 1.0861004219369355, 1.0900000000000003, 1.0955675326302057, 1.091066077178466, 1.0807547794417702, 1.071894574723078, 1.073661014626638, 1.0860081549489273]","[0.0, 1.3699101103823916, 1.7989069784613123, 1.12647525270263, 1.1048058462773958, 1.2993043151736212, 1.0147725828550904, 1.0147725828550904, 0.9577313078665427, 1.0033187342661198, 1.1342250367547309, 1.289116731066382, 1.2391507074155754, 1.0739504814888103]","[0.00011604131947376048, 0.0005037369720934659, 0.00025561175441685433, 4.0641199447031217e-05, 5.9892293921940696e-05, 0.0001577520241693977, 4.812773618727383e-05, 1.8716341850606486e-05, 3.261991008248556e-05, 7.219160428091079e-05, 7.967814102115332e-05]","[6.79135832864864e-05, 0.00010160299861757782, -2.085535234781866e-05, 8.556041988848673e-06, 4.010644682272821e-05, 8.876893563430507e-05, 3.101565220957648e-05, 9.625547237454736e-06, 8.556041988848673e-06, 3.101565220957648e-05, 2.673763121515209e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.11720541175223, -38.48531359520873, -27.888895680503342, 2.41302304214625]"
424,"[1.06, 1.045, 1.01, 1.0400812945848097, 1.039150082511223, 1.0700000000000003, 1.0861004165914077, 1.09, 1.095567523516582, 1.0910660677727833, 1.0807547737677483, 1.0718945705094556, 1.0736610088269911, 1.0860081427770738]","[0.0, 1.3699085116211545, 1.7989032777749816, 1.1264723338598728, 1.104803324573844, 1.2993003643664898, 1.0147689138854121, 1.0147689138854121, 0.9577272556090529, 1.0033146315899306, 1.134220978826112, 1.28911256172136, 1.2391465296521122, 1.0739461308854685]","[0.00012179862831109915, 0.0005287295293504844, 0.0002682937526852777, 4.265758410895627e-05, 6.28638081605671e-05, 0.00016557878042292262, 5.051556012902719e-05, 1.9644940050177237e-05, 3.4238324087451726e-05, 7.577334019354084e-05, 8.363131621361166e-05]","[7.12830681820717e-05, 0.00010664396027239047, -2.1890076055911784e-05, 8.980544022938159e-06, 4.209630010752268e-05, 9.317314423798349e-05, 3.255447208315087e-05, 1.0103112025805407e-05, 8.980544022938159e-06, 3.255447208315087e-05, 2.8064200071681733e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.11719513976307, -38.485299279752454, -27.888886949908105, 2.4130263499097317]"
425,"[1.06, 1.0450000000000002, 1.0099999999999998, 1.0400813155257436, 1.0391500989062843, 1.0699999999999998, 1.0861004420961007, 1.09, 1.095567566999692, 1.091066112649373, 1.0807548008397605, 1.0718945906135793, 1.0736610364983903, 1.0860082008516754]","[0.0, 1.369916139664526, 1.7989209345679362, 1.126486260304243, 1.1048153561792515, 1.299319214541093, 1.0147864193512415, 1.0147864193512413, 0.9577465898257851, 1.003334206365439, 1.1342403401010193, 1.2891324545886182, 1.239166462685573, 1.0739668885762053]","[9.432923353582258e-05, 0.000409484506869791, 0.00020778513193605113, 3.3036966583974644e-05, 4.8686056018488914e-05, 0.00012823559397727018, 3.912272358628578e-05, 1.52143925057778e-05, 2.6516512652927e-05, 5.8684085379428715e-05, 6.476984238173978e-05]","[5.52065099495366e-05, 8.259241645993644e-05, -1.695318022072384e-05, 6.955150859784133e-06, 3.2602269655238165e-05, 7.215969017026045e-05, 2.5212421866717515e-05, 7.824544717257132e-06, 6.955150859784133e-06, 2.5212421866717515e-05, 2.1734846436825404e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.11724414966354, -38.48536758194961, -27.888928605504216, 2.4130105678400326]"
426,"[1.06, 1.0450000000000004, 1.0099999999999998, 1.0400813025900761, 1.0391500887787013, 1.0700000000000003, 1.0861004263412994, 1.0900000000000005, 1.095567540139232, 1.09106608492813, 1.0807547841167908, 1.0718945781948255, 1.073661019405166, 1.0860081649777333]","[0.0, 1.3699114276564952, 1.798910027583449, 1.1264776576370934, 1.1048079239952817, 1.2993075703788668, 1.0147756058448036, 1.0147756058448039, 0.9577346466602049, 1.0033221146014892, 1.134228380221044, 1.2891201663324914, 1.239154149617913, 1.0739540660998406]","[0.00011129767559266656, 0.00048314474842530705, 0.00024516262181241704, 3.897983108314579e-05, 5.744396159621481e-05, 0.00015130329170431612, 4.6160326282672666e-05, 1.7951237998817145e-05, 3.1286443369366996e-05, 6.924048942400906e-05, 7.642098462353584e-05]","[6.513734930999365e-05, 9.744957770786428e-05, -2.0002808055824824e-05, 8.20628022803069e-06, 3.8466938568893904e-05, 8.514015736581848e-05, 2.974776582661129e-05, 9.232065256534504e-06, 8.20628022803069e-06, 2.974776582661129e-05, 2.5644625712595893e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.117213875192643, -38.48532539020203, -27.888902873939774, 2.41302031676652]"
427,"[1.06, 1.0449999999999997, 1.01, 1.0400812959392176, 1.0391500835716152, 1.07, 1.0861004182409872, 1.09, 1.095567526328961, 1.0910660706752888, 1.0807547755186984, 1.0718945718097395, 1.0736610106167077, 1.0860081465331943]","[0.0, 1.3699090049839382, 1.798904419772189, 1.1264732345874717, 1.1048041027479945, 1.2993015835486545, 1.0147700460951745, 1.0147700460951743, 0.9577285060978548, 1.0033158976374772, 1.134222231064975, 1.2891138483422713, 1.2391478188708858, 1.0739474734410068]","[0.0001200219766441165, 0.0005210170599021082, 0.00026438020661699336, 4.203534665876881e-05, 6.194682665502767e-05, 0.00016316351663601074, 4.977869999064729e-05, 1.9358383329696165e-05, 3.373889666032757e-05, 7.466804998597101e-05, 8.241140331784938e-05]","[7.024327665346894e-05, 0.0001050883666469218, -2.1570769995947162e-05, 8.849546665003956e-06, 4.1482249992206095e-05, 9.181404664941613e-05, 3.207960666063938e-05, 9.955739998129427e-06, 8.849546665003956e-06, 3.207960666063938e-05, 2.765483332813735e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.11719830960461, -38.485303697368145, -27.88888964408826, 2.413025329164805]"
428,"[1.06, 1.045, 1.0100000000000002, 1.0400813101647797, 1.0391500947090833, 1.0699999999999998, 1.086100435566795, 1.09, 1.0955675558678373, 1.091066101160781, 1.0807547939092133, 1.0718945854668405, 1.0736610294143978, 1.0860081859843378]","[0.0, 1.3699141868538944, 1.7989164143559084, 1.1264826950768698, 1.1048122760384884, 1.2993143888184244, 1.014781937879568, 1.014781937879568, 0.9577416401863217, 1.0033291951419407, 1.1342353835345755, 1.2891273619323143, 1.2391613597465594, 1.0739615745215283]","[0.00010136151243066242, 0.00044001172677273626, 0.00022327558959380888, 3.549988453792777e-05, 5.23156193190514e-05, 0.00013779560445643035, 4.203933695280921e-05, 1.6348631037203577e-05, 2.849332837912621e-05, 6.305900542921388e-05, 6.959845784409523e-05]","[5.932217547785299e-05, 8.874971134481923e-05, -1.8217046012883992e-05, 7.473659902721631e-06, 3.503278079400769e-05, 7.7539221490737e-05, 2.709201714736595e-05, 8.407867390561816e-06, 7.473659902721631e-06, 2.709201714736595e-05, 2.3355187196005088e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.117231602933924, -38.48535009630665, -27.888917941501813, 2.4130146081143433]"
429,"[1.06, 1.0449999999999997, 1.0100000000000002, 1.040081296202867, 1.0391500837780312, 1.0700000000000003, 1.0861004185620957, 1.09, 1.0955675268764202, 1.0910660712402924, 1.0807547758595393, 1.0718945720628539, 1.0736610109650946, 1.086008147264362]","[0.0, 1.3699091010221542, 1.798904642073866, 1.1264734099235094, 1.1048042542277274, 1.2993018208752118, 1.0147702664916358, 1.0147702664916356, 0.9577287495185686, 1.0033161440868636, 1.134222474826359, 1.2891140987964946, 1.239148069830798, 1.0739477347834814]","[0.00011967613287236011, 0.0005195157473076634, 0.0002636183940690692, 4.191422165114907e-05, 6.176832664379857e-05, 0.00016269336035643411, 4.963526248162391e-05, 1.930260207618707e-05, 3.364167790421172e-05, 7.445289372243594e-05, 8.217393455291067e-05]","[7.004087039073595e-05, 0.00010478555412787245, -2.150861374203703e-05, 8.824046663399799e-06, 4.136271873468661e-05, 9.1549484132773e-05, 3.1987169154824314e-05, 9.927052496324751e-06, 8.824046663399799e-06, 3.1987169154824314e-05, 2.757514582312436e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.11719892664678, -38.48530455730295, -27.888890168538303, 2.413025130465998]"
430,"[1.06, 1.0450000000000002, 1.01, 1.0400813045028316, 1.0391500902762343, 1.07, 1.086100428670911, 1.09, 1.0955675441110013, 1.0910660890271802, 1.0807547865895621, 1.071894580031146, 1.0736610219326852, 1.0860081702822968]","[0.0, 1.369912124405793, 1.798911640363735, 1.1264789296854727, 1.1048090229681227, 1.2993092921632121, 1.0147772048027814, 1.0147772048027817, 0.9577364126571998, 1.0033239025712366, 1.1342301486895296, 1.289121983356907, 1.2391559703111281, 1.073955962117658]","[0.0001087886073709746, 0.00047225284858736324, 0.00023963573420887442, 3.810107907923526e-05, 5.614895864308348e-05, 0.00014789234642597916, 4.511969890962071e-05, 1.7546549575963603e-05, 3.0581129260965115e-05, 6.767954836443113e-05, 7.46981681948165e-05]","[6.366890846135366e-05, 9.525269769808795e-05, -1.9551869527502308e-05, 8.021279806154786e-06, 3.759974909135061e-05, 8.322077798885599e-05, 2.907713929731114e-05, 9.023939781924115e-06, 8.021279806154786e-06, 2.907713929731114e-05, 2.50664993942337e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.11721835178212, -38.485331628958825, -27.888906678783243, 2.4130188752238837]"
431,"[1.06, 1.045, 1.0100000000000002, 1.0400812909948711, 1.03915007970059, 1.0700000000000003, 1.0861004122190967, 1.0900000000000003, 1.0955675160622023, 1.0910660600795168, 1.08075476912675, 1.0718945670629738, 1.0736610040832386, 1.086008132821252]","[0.0, 1.3699072039336126, 1.7989002508430705, 1.1264699464275416, 1.1048012619767422, 1.2992971328513105, 1.014765912895795, 1.014765912895795, 0.957723941113782, 1.0033112758552913, 1.1342176596922169, 1.2891091514557242, 1.2391431125007355, 1.073942572361784]","[0.00012650774986387465, 0.0005491718911141457, 0.00027866684071397213, 4.4306861703476734e-05, 6.52943225103867e-05, 0.00017198058161217966, 5.2468652017275084e-05, 2.040447578449586e-05, 3.556208636726419e-05, 7.870297802591272e-05, 8.686476833971096e-05]","[7.403909784659929e-05, 0.0001107671542586916, -2.273641587415254e-05, 9.327760358626675e-06, 4.37238766810626e-05, 9.677551372075185e-05, 3.381313130002174e-05, 1.0493730403454986e-05, 9.327760358626675e-06, 3.381313130002174e-05, 2.914925112070835e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.11718673791094, -38.48528757059642, -27.888879808820867, 2.4130290554554517]"
432,"[1.06, 1.045, 1.0099999999999998, 1.040081290713943, 1.0391500794806459, 1.07, 1.0861004118769448, 1.0899999999999999, 1.0955675154788664, 1.0910660594774872, 1.0807547687635726, 1.0718945667932722, 1.07366100371202, 1.0860081320421675]","[0.0, 1.3699071016015696, 1.7989000139729419, 1.1264697596009352, 1.1048011005698601, 1.2992968799716722, 1.0147656780557421, 1.0147656780557424, 0.957723681740588, 1.0033110132549399, 1.1342173999560383, 1.2891088845881176, 1.2391428450942794, 1.0739422938923393]","[0.0001268762583735696, 0.0005507715916493192, 0.00027947857835283936, 4.4435924591664824e-05, 6.548452045087441e-05, 0.00017248154940185712, 5.262148964802414e-05, 2.0463912640898272e-05, 3.5665676316994106e-05, 7.89322344720363e-05, 8.711779952839552e-05]","[7.425476872554517e-05, 0.00011108981147916183, -2.2802645514143795e-05, 9.354931492982063e-06, 4.385124137335348e-05, 9.7057414239689e-05, 3.391162666206002e-05, 1.0524297929604797e-05, 9.354931492982063e-06, 3.391162666206002e-05, 2.9234160915568937e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.117186080430443, -38.485286654305916, -27.88887925000156, 2.413029267175766]"
433,"[1.06, 1.0449999999999997, 1.0100000000000002, 1.040081317455823, 1.0391501004173807, 1.0700000000000007, 1.0861004444468119, 1.09, 1.0955675710074346, 1.0910661167855487, 1.0807548033349283, 1.0718945924665324, 1.0736610390488022, 1.0860082062042833]","[0.0, 1.369916842724523, 1.7989225619557478, 1.1264875438740403, 1.1048164651059058, 1.2993209519203066, 1.0147880327915946, 1.0147880327915948, 0.9577483718180936, 1.0033360105295213, 1.134242124587221, 1.2891342880705385, 1.2391682998695266, 1.0739688017669975]","[9.1797439682789e-05, 0.00039849395475201387, 0.00020220818510770987, 3.215025537277395e-05, 4.737932370724577e-05, 0.000124793754407478, 3.807267083617968e-05, 1.4806038658514317e-05, 2.5804810233410647e-05, 5.710900625426959e-05, 6.303142171767524e-05]","[5.37247688466091e-05, 8.03756384319347e-05, -1.649815736234453e-05, 6.768474815320828e-06, 3.172722569681642e-05, 7.022292620895366e-05, 2.453572120553803e-05, 7.6145341672359136e-06, 6.768474815320828e-06, 2.453572120553803e-05, 2.1151483797877578e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.117248666796502, -38.48537387721148, -27.88893244480746, 2.4130091132416442]"
434,"[1.06, 1.0449999999999995, 1.0100000000000002, 1.0400813254447177, 1.0391501066720388, 1.0699999999999998, 1.086100454176768, 1.0899999999999999, 1.095567587596099, 1.0910661339058225, 1.080754813662813, 1.0718946001361909, 1.073661049605353, 1.086008228359556]","[0.0, 1.369919752798683, 1.798929297965985, 1.1264928567681936, 1.1048210551250337, 1.2993281432018313, 1.014794711071036, 1.0147947110710362, 0.9577557477601593, 1.0033434782439805, 1.1342495108518937, 1.289141877135991, 1.239175904258254, 1.0739767207598263]","[8.1317952383043e-05, 0.00035300235550611195, 0.00017912433750734774, 2.8480020189452776e-05, 4.1970556068667207e-05, 0.00011054744678800764, 3.372633969803619e-05, 1.3115798771458515e-05, 2.2858963573113393e-05, 5.058950954705434e-05, 5.5835829055637675e-05]","[4.7591612685006617e-05, 7.120005047363178e-05, -1.461474720248235e-05, 5.995793724095318e-06, 2.8105283081696843e-05, 6.220635988748898e-05, 2.1734752249845554e-05, 6.745267939607217e-06, 5.995793724095318e-06, 2.1734752249845554e-05, 1.873685538779786e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.117267363893646, -38.485399934275016, -27.888948336280087, 2.4130030924342236]"
435,"[1.06, 1.0450000000000002, 1.0099999999999998, 1.0400813204564159, 1.039150102766602, 1.0699999999999998, 1.0861004481013397, 1.0900000000000003, 1.0955675772380626, 1.0910661232158467, 1.0807548072140352, 1.0718945953472212, 1.0736610430137952, 1.086008214525704]","[0.0, 1.3699179357352376, 1.7989250919707922, 1.1264895393731005, 1.1048181890963709, 1.2993236529331833, 1.0147905411231979, 1.0147905411231979, 0.9577511421886267, 1.0033388153693459, 1.134244898834878, 1.2891371384892596, 1.2391711560436005, 1.0739717761049556]","[8.78613915629221e-05, 0.00038140751544825987, 0.00019353799616164363, 3.077173160729061e-05, 4.53478150002177e-05, 0.00011944290558093084, 3.644020848231784e-05, 1.4171192187568045e-05, 2.4698363526904288e-05, 5.4660312723476816e-05, 6.032878959850396e-05]","[5.142118308060406e-05, 7.692932901822637e-05, -1.5790757009004398e-05, 6.478259285745389e-06, 3.0366840401931555e-05, 6.721194008960847e-05, 2.3483689910827064e-05, 7.2880416964635455e-06, 6.478259285745389e-06, 2.3483689910827064e-05, 2.0244560267954333e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.117255689340823, -38.48538366412767, -27.888938413573616, 2.413006851853492]"
436,"[1.06, 1.045, 1.0099999999999998, 1.0400813099544082, 1.0391500945443788, 1.07, 1.0861004353105763, 1.09, 1.095567555431009, 1.0910661007099534, 1.08075479363725, 1.0718945852648754, 1.0736610291364126, 1.086008185400924]","[0.0, 1.369914110223103, 1.7989162369769724, 1.1264825551727837, 1.1048121551698278, 1.2993141994508934, 1.0147817620208852, 1.0147817620208852, 0.957741445956137, 1.0033289984951193, 1.1342351890325542, 1.2891271620899722, 1.2391611595007062, 1.073961365991222]","[0.00010163746812438717, 0.0004412096542542509, 0.00022388345513113802, 3.5596532614992654e-05, 5.2458048064199645e-05, 0.00013817075159766904, 4.215378862301762e-05, 1.6393140020062406e-05, 2.8570901177823024e-05, 6.32306829345265e-05, 6.978793894255138e-05]","[5.948367950136931e-05, 8.899133153748144e-05, -1.826664173664097e-05, 7.494006866314238e-06, 3.5128157185848044e-05, 7.775032123801029e-05, 2.7165774890389147e-05, 8.4307577246035e-06, 7.494006866314238e-06, 2.7165774890389147e-05, 2.3418771457231987e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.117231110584488, -38.48534941014721, -27.888917523031246, 2.4130147666601243]"
437,"[1.06, 1.045, 1.01, 1.0400813055658369, 1.0391500911084819, 1.0699999999999998, 1.0861004299655816, 1.0899999999999999, 1.0955675463182937, 1.0910660913052084, 1.080754787963793, 1.071894581051673, 1.073661023337343, 1.086008173230284]","[0.0, 1.3699125116210362, 1.7989125366590342, 1.1264796366205703, 1.1048096337172801, 1.2993102490370492, 1.0147780934164174, 1.0147780934164174, 0.9577373941020169, 1.0033248962273218, 1.1342311315078848, 1.2891229931599815, 1.2391569821531212, 1.073957015820955]","[0.00010739420413457641, 0.00046619972486069446, 0.0002365641915959788, 3.761271665542759e-05, 5.542926665010376e-05, 0.0001459967291230415, 4.454137498669057e-05, 1.732164582815744e-05, 3.01891541576458e-05, 6.681206248003594e-05, 7.374072081129883e-05]","[6.285282914788559e-05, 9.403179163856878e-05, -1.9301262494232585e-05, 7.91846666430054e-06, 3.711781248890884e-05, 8.215409164211818e-05, 2.8704441658089497e-05, 8.908274997338088e-06, 7.91846666430054e-06, 2.8704441658089497e-05, 2.4745208325939183e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.117220839626608, -38.48533509611939, -27.888908793307372, 2.413018074093598]"
438,"[1.06, 1.045, 1.0100000000000002, 1.0400813008335206, 1.0391500874034598, 1.0699999999999998, 1.0861004242019299, 1.0899999999999999, 1.0955675364918078, 1.0910660811638189, 1.0807547818459533, 1.071894576508463, 1.0736610170840504, 1.0860081601063547]","[0.0, 1.3699107878056056, 1.7989085465070842, 1.1264764894675614, 1.10480691476748, 1.2993059891999832, 1.014774137461976, 1.0147741374619765, 0.9577330248792075, 1.0033204726420777, 1.1342267561703434, 1.2891184976910948, 1.239152477607318, 1.0739523249158531]","[0.00011360184660671369, 0.0004931471866521844, 0.00025023816902308303, 3.978682185304249e-05, 5.863321115185202e-05, 0.00015443569008746774, 4.7115973247024e-05, 1.8322878484953776e-05, 3.193415964520512e-05, 7.067395987053609e-05, 7.80031112645175e-05]","[6.648587335968943e-05, 9.9467054632606e-05, -2.041692174037707e-05, 8.37617302169315e-06, 3.9263311039186696e-05, 8.69027951000665e-05, 3.0363627203637707e-05, 9.423194649404772e-06, 8.37617302169315e-06, 3.0363627203637707e-05, 2.6175540692791087e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.117209764173364, -38.4853196609176, -27.8888993798106, 2.4130216405882976]"
439,"[1.06, 1.0450000000000002, 1.0100000000000002, 1.0400812922466631, 1.0391500806806424, 1.07, 1.0861004137436971, 1.09, 1.095567518661503, 1.091066062762116, 1.0807547707450402, 1.0718945682647427, 1.073661005737359, 1.0860081362927918]","[0.0, 1.3699076599169755, 1.7989013063173804, 1.1264707789119044, 1.104801981192868, 1.2992982596626732, 1.014766959324172, 1.014766959324172, 0.9577250968598369, 1.0033124459812877, 1.1342188170557397, 1.28911034059638, 1.2391443040424066, 1.0739438131991863]","[0.00012486570540270241, 0.0005420437534071215, 0.0002750498026842932, 4.3731767790808117e-05, 6.444681569171715e-05, 0.0001697483091880054, 5.178761975227277e-05, 2.0139629903661632e-05, 3.510049783209595e-05, 7.768142962840925e-05, 8.57372815898738e-05]","[7.307808565042936e-05, 0.00010932941947702005, -2.2441301892651537e-05, 9.206687955959598e-06, 4.315634979356067e-05, 9.551938754308091e-05, 3.3374243840353585e-05, 1.0357523950454523e-05, 9.206687955959598e-06, 3.3374243840353585e-05, 2.8770899862373734e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.117189667590285, -38.48529165351461, -27.888882298878826, 2.413028112046643]"
440,"[1.06, 1.0449999999999997, 1.0100000000000002, 1.0400812906827444, 1.0391500794562196, 1.0699999999999998, 1.086100411838947, 1.09, 1.0955675154140834, 1.0910660594106283, 1.0807547687232395, 1.0718945667633202, 1.073661003670795, 1.0860081319556465]","[0.0, 1.3699070902371777, 1.7988999876675384, 1.1264697388530824, 1.10480108264497, 1.2992968518883659, 1.014765651975821, 1.0147656519758208, 0.9577236529361711, 1.0033109840921426, 1.1342173711113117, 1.2891088549513896, 1.2391428153977184, 1.0739422629672062]","[0.00012691718275171097, 0.0005509492449406056, 0.00027956872513971293, 4.4450257553594516e-05, 6.550564271056026e-05, 0.00017253718392513682, 5.2638462892414564e-05, 2.0470513347050106e-05, 3.567718040485872e-05, 7.895769433862194e-05, 8.714589967744187e-05]","[7.427871985929611e-05, 0.00011112564388398605, -2.281000058671298e-05, 9.357948958651471e-06, 4.3865385743678835e-05, 9.70887204460091e-05, 3.392256497511163e-05, 1.0527692578482882e-05, 9.357948958651471e-06, 3.392256497511163e-05, 2.924359049578584e-05]","[40.0, 0.0, 0.0, 0.0]","[-23.117186007414322, -38.48528655254745, -27.888879187941463, 2.4130292906885735]"
